 positive | Ride seems comfortable and gas mileage fairly good averaging 26 city and 30 open road .
 positive |  It gets great gas mileage   .
 positive |  Being a mother who drives a lot I wanted a safe vehicle with good gas mileage and this car delivered that and more .
 positive |  Great gas mileage and comfortable on long trips .
 positive |  Nice looking car and good gas mileage .
 positive |  Good gas mileage, comfortable seating, lots of leg room .
 positive |  The interior is roomy, the ride is smooth and solid and yet it has excellent gas mileage .
 positive |  The gas mileage is still good, cant give specifics but for a V6, its good .
 positive |  I had my OEM Turanzas wear out at 14K and was lucky to get local Bridgestones to gimme a mileage warranty adjustment, got new tires for $290 .
 neutral | My mileage averages 25, but it easily gets 30 or over on the highway .
 positive |  I get better mileage with my BMW 325i .
 negative |  The vehicle does not get as good of mileage in town as I thought .
 negative |   The gas mileage is not what its cracked up to be .
 positive | The corolla is the best toyota car when it comes to gas per mileage .
 positive | It has excellent power and good mileage considering the amount of power it has .
 negative | It had hesitancy during acceleration, bursts of excessive RPMs in cruise control, and only average mileage .
 negative |   The car has extremely dangerous hesitations and absolutely terrible gas mileage .
 positive | With the SW fix and using the 0W, 20 oil our gas mileage has improved from 26 to 32 mpg   .
 positive | Gas mileage is great on this model especially the 6 .
 negative | Toyota may have computerized the engine and transmission to get better gas mileage but the very best I can get is 25 mpg on the highway .
 negative | Gas mileage is about 20 in the city, certainly not that great .
 positive | Overall I like the Camry for its large trunk space, sporty look, the metallic red paint, reliability and low maintenance, Toyota warranty, Toyota dealer service department and better gas mileage than my full size truck .
 negative | This car offers poor driver's seat comfort, poor vision  , only average ride quality, gas mileage 
 negative | To top things off, the car gets terrible mileage .
 positive | Mileage has met the EPA sticker and I just started .
 negative | Gas mileage is only about 22 around town .
 positive | It gets great mileage, and runs great .
 neutral | Mileage out of the showroom was way below advertised  , but seems to have come around over time .
 negative | Gas mileage stinks too but it may be better if they could figure out the engine problems .
 negative | hesitating then surge between shifts, windshield wipers that move with power that rocks the car to the point that it feels like it will roll over, plastic parts falling off, cruise control is so unreliable I don't use it, bad mileage, and, last but not least, half the windshild blacks out when driving at night through areas without street lights .
 positive | It gets great mileage for a V6, good sound system that comes standard in all Camrys and overall styling looks sporty and aggressive .
 neutral | Gas mileage at 7500 mi is still around 20 MPG and I'm hoping it will improve as I rack up the mileage .
 positive | This new one gets even better mileage, averages about 33 freeway .
 negative | I've had this car for a year ,  bought it for the low emissions, safety, and good mileage rating ,  and I'm considering trading it in .
 negative | throttle hesitation, and poor gas mileage .
 negative | My previous BMW 3 series got better mileage, and believe me it was more fun to drive .
 positive | We have become Toyota Camry and Honda Accord lovers driving used high mileage models from 1992, 1994 .
 positive | The Mileage Queen has put 55,000 miles on  Ricky  since Sept 06   .
 positive | truly fantastic gas mileage .
 positive | Gas mileage now is in the high 20s and that should improve with time .
 negative | The delay in acceleration and poor mileage makes this car worse than any other car in the segment .
 negative | Mileage a little disappointing .
 positive | The gas mileage has been getting better .
 positive | I first averaged 23 mpg during the break in period, but ever since then the mileage have increased slowly .
 negative | Highway mileage is 29, which I consider poor for a 4, cylinder .
 negative | Gas mileage is poor, 25 mpg .
 positive | Highway mileage already greater than promised .
 positive | Appears to have good mileage .
 negative | Wish it delivered the gas mileage of my 2003 XLE .
 positive | This car has it all, styling, performance, durability, wonderful gas mileage and just a great and exciting car to drive.
 negative | Gas mileage is disappointing, 21 in town .
 positive | The mileage seems to be good too as the fuel indicator still shows approx .
 positive | Can't beat the room, gas mileage and performance for dollar .
 positive | Good acceleration for engine size, and good mileage, especially when highway cruising around 70 mph   .
 neutral | I drove the car 600 miles in the last week and gas mileage averaged 26 mpg .
 negative | Gas mileage on recent long trip was a disappointing 28, 29 mpg .
 positive | This car has plenty of pick up and go even with the in line four cylinder engine along with good gas mileage and handling .
 negative | Serious disappointment in gas mileage ,  particularly over my previous 1999 model .
 neutral | Gas mileage on the first tank was 30 .
 negative | I am a little disappointed with the mileage but I do have a tendency to drive more aggressive in the model .
 neutral | 2000 miles were on a trip north on I, 95 the rest of the mileage was in Daytona Beach, FL and surrounding area .
 neutral | on my 2000 mile trip gas mileage in Florida, Georgia, and South Carolina was 32 .
 neutral | In town driving the mileage has been 20 .
 negative | Would like to see better gas mileage too .
 negative | I am disappointed with the gas mileage .
 neutral | It floats on the road, handles like it's heavy and substantial, but I get great gas mileage ,  around 30 mpg .
 positive | Great ride, engine, interior, gas mileage .
 positive | Nice gas mileage for a family car .
 positive | Great performance, great gas mileage  , superior quality ,  I always thought of a Camry as just a practical family sedan .
 neutral | I got 35 highway mileage with ac on and combined 28 29 mile per gallon with ac on .
 negative | I purchased this camry, three weeks ago, acceleration is a major problem, just not like the older models of camry, was in a accident, hit on the front right side, right fender, car was considered total loss, not fixable, I would not purchase another camry disappointed is this 2007 camry, gas mileage is not as good as prior years, i had to purchase another vehicle, it was not a camry, made in ky, it was a solid 2007 toyota RAV4 made in japan .
 positive | I would highly reccomend this car If your looking for a sporty, roomy, 4 door sedan with good gas mileage
 neutral | Safety was #1 and mileage was #2 .
 positive | Traded my Highlander for it for better mileage w  gas prices so high .
 positive | I decided on the Camry because of the value and gas mileage .
 negative | Biggest disapointment is gas mileage .
 positive | I actually get better highway mileage than sticker show .
 positive | I have to say the car rode great,comfortable and gas mileage great .
 neutral | My mileage is 1 2 road and 1 2 city and I am averaging between 26, 28 mpgs .
 neutral | I believe after it has some miles on it, the mileage will improve .
 negative | Gas mileage is lower than my '02 .
 neutral | The mileage has been both street and interstate, averaging 24 miles per gallon .
 positive | For a 4 cylinder engine what get, up and go,not to mention the great gas mileage .
 neutral | It is a very well designed auto and runs and handles very well, mileage not quite as good as 2004, but only have 2100 miles on it .
 positive | Gas mileage for us will be what it is rated, maybe a little better on highway on the flat open roads of West Texas if you don't put your foot in it all the time .
 positive | Comfortable and quiet with excellent gas mileage .
 positive | Love the looks, power, roomy interior, good mileage at 32 hwy and 25 city .
 positive | Once you learn the responsiveness of the gas pedal, you can get either the performance or mileage you want out of a 2 .
 neutral | Gas mileage is 28 mpg on combined and 32 when we were on trip of 100 miles .
 positive | Comfort is great, mileage is good overall, better on the road than expected  , compared to my 1999 Camry .
 neutral | Downshifting on grades is annoying, but overall car is good with decent mileage, and good value for the money .
 negative | The 2000 Bonneville I traded was not as refined or quiet, but rode better and got nearly the same mileage .
 positive | Reliable and predicted to get great mileage .
 positive | My conclusion after doing a ton of research regarding safety, reliability, comfort and gas mileage :
 neutral | My overall mileage has been 23, 24 .
 positive | Probably the best 4 cylinder motor on the market with excelent mileage and performance .
 positive | Powerfull, quiet, good gas mileage, excellent workmanship, good audio system .
 negative | Poor mileage is yet another factor as is the numerous blind spots resulting from the appearance over proper design issues .
 positive | The engine, ride and gas mileage is great .
 positive | It gets great gas mileage for a larger car .
 neutral | Once broken in mileage is steady at 29, 32 mpg .
 negative | The transmission is jerky and the gas mileage is terrible .
 negative | I would not have purchased this vehicle if I was aware of the actual poor mileage .
 negative | I like how it looked when I got the car, but with high gas prices, I am very disappointed with the gas mileage .
 positive | I thought great mileage & I loved the look of the new Camry .
 neutral | If I'm going to get mileage this bad I may as well look good doing it .
 negative | My old 1989 Camry is still running well giving great mileage 40
 negative | Mileage is mediocre at an average of 25 .
 negative | The 4 cylinder does not get good mileage at 70 MPH plus .
 neutral | Below it you can expect to get good mileage only if you do not have too many hills .
 positive | This car is easy to drive, great gas mileage and comfortable .
 negative | Doesn't anyone build a quiet car out there for around 30K that used regular gas and gets good gas mileage ?
